一个小时之后的你	เจ้าในอีกหนึ่งชั่วโมงถัดไป
惊吓指数	ดัชนีความตกใจ
惊吓程度	ระดับความตกใจ
愤怒指数	ดัชนีความโกรธ
我呢？我又如何	ข้าเล่า？แล้วข้าจะเป็นเช่นไร
打击程度	ระดับแรงปะทะ
打发时间读书	อ่านหนังสือฆ่าเวลา
打听的事	เรื่องที่สืบถามมา
打破沉默的是	ผู้ที่ทำลายความเงียบคือ
打算下的毒	พิษที่วางแผนจะวาง
找工作的际遇	โชคชะตาในการหางาน
找零工赚点快钱	รับจ้างทำงานเล็กๆหาเงินไว
抉择	การตัดสินใจ
抓获的丐帮弟子	ศิษย์พรรคขอทานที่จับได้
招募弟子结果	ผลการรับสมัครศิษย์
拦截	การสกัดกั้น
拦路者何人	ผู้ขวางทางคือใคร
挑战者是	ผู้ท้าทายคือ
挑战飞石帮	ท้าทายพรรคก้อนหินบิน
掌门令牌	ป้ายเจ้าสำนัก
掌门找你的原因	เหตุผลที่เจ้าสำนักตามหาเจ้า
接下来	ขั้นต่อไป
接下来去哪	ต่อไปจะไปที่ใด
推举出的人选	ผู้ที่ได้รับการเสนอชื่อ
收服弟子	ปราบและรับศิษย์
故意朝你撞过来	จงใจพุ่งเข้าชนเจ้า
新娘子人选	ผู้ที่จะเป็นเจ้าสาว
新花样	ลูกเล่นใหม่
是什么酒	เหล้าชนิดใด
是否会意	เข้าใจนัยหรือไม่
是否听过万里鹏程	เคยได้ยินชื่อว่านหลี่เผิงเฉิงหรือไม่
是否听过杏梢锦囊	เคยได้ยินชื่อถุงผ้าซิ่งเซาหรือไม่
是否听过阎关三煞的名号	เคยได้ยินชื่อเสียงของสามมารแห่งเอี๋ยนกวนหรือไม่
是否携带药材	พกพาสมุนไพรมาด้วยหรือไม่
是否烤鸡	จะย่างไก่หรือไม่
是否预购活侠传呢	จะสั่งจองเกม「ฮั่วเสียจ้วน」ล่วงหน้าหรือไม่
暗器向你射来	อาวุธลับพุ่งเข้าใส่เจ้า
暴怒指数	ดัชนีความเกรี้ยวกราด
有人坠马	มีคนตกจากหลังม้า
有人来了	มีคนมาแล้ว
有礼物吗	มีของขวัญหรือไม่
有趣的事情	เรื่องน่าสนใจ
朱婶的意向	ความประสงค์ของป้าจู
李大夫对你的好感度	ความชื่นชอบของหมอหลี่ที่มีต่อเจ้า
村民的想法	ความคิดของชาวบ้าน
来者何人	ผู้มาเยือนคือใคร
树屋规格	ขนาดบ้านต้นไม้
樊啸天拔的草	หญ้าที่ฝานเซี่ยวเทียนถอน
樊啸天的理智	สติของฝานเซี่ยวเทียน
此人就是	ผู้นี้คือ
武林人的回应	คำตอบของชาวยุทธจักร
武林盟的消耗	การสูญเสียของพันธมิตรยุทธจักร
死亡擂台对手	คู่ต่อสู้บนเวทีประลองมรณะ
段智秀的问题	คำถามของตวนจื้อซิ่ว
段考的考官	กรรมการสอบประจำขั้น
毒药的威力	พลังของยาพิษ
比拼内力	ประลองพลังลมปราณ
温夫人的想法	ความคิดของท่านหญิงเวิน
游伴是	เพื่อนร่วมทางคือ
点苍派印象	ความประทับใจต่อสำนักเตี่ยนชาง
现场的失控程度	ระดับความวุ่นวายในที่เกิดเหตุ
理解二师兄的深意	เข้าใจนัยลึกซึ้งของพี่รอง
理解二师兄的行为	เข้าใจพฤติกรรมของพี่รอง
由谁出战	ให้ผู้ใดออกรบ
申屠龙对你的安排	สิ่งที่เซินถูหลงจัดแจงให้เจ้า
申屠龙挣扎中	เซินถูหลงกำลังดิ้นรน
画中仙的抉择	การตัดสินใจของนางฟ้าในภาพวาด
真的是这样吗？	เป็นเช่นนั้นจริงหรือ？
站哨	ยืนเฝ้ายาม
第一个刺客是	นักฆ่าคนแรกคือ
第一战	ศึกแรก
第三香给的东西	ของที่ตี้ซานเซียงมอบให้
第二个刺客是	นักฆ่าคนที่สองคือ
精神伤害判定	การตัดสินความเสียหายทางจิตใจ
精神伤害鉴定	การพิสูจน์ความเสียหายทางจิตใจ
练药是否成功	การปรุงยาสำเร็จหรือไม่
结果	ผลลัพธ์
考官是	กรรมการสอบคือ
考虑离开唐门	พิจารณาออกจากสำนักถัง
背后劲风来袭	กระแสลมทรงพลังจู่โจมจากด้านหลัง
胜利者是	ผู้ชนะคือ
胜负	แพ้ชนะ
能否领会二师兄的言外之意	จะจับความนัยแฝงในคำพูดของพี่รองได้หรือไม่
落跑的唐门弟子	ศิษย์สำนักถังที่หลบหนี
蒙面人送你的秘籍	คัมภีร์ลับที่ชายสวมหน้ากากมอบให้เจ้า
被采纳的意见是	ความเห็นที่ถูกนำไปใช้คือ
要做什么呢	จะทำอะไรดีเล่า
要读什么书呢	จะอ่านหนังสือเล่มใดดี
解无尘的来意	จุดประสงค์ที่เซี่ยอู๋เฉินมาเยือน
论战胜负	แพ้ชนะแห่งการโต้วาที
试图说服唐门弟子	พยายามโน้มน้าวศิษย์สำนักถัง
说服	การโน้มน้าว
说点什么	พูดอะไรสักอย่าง
谁先放手	ใครจะปล่อยมือก่อน
调息的效果	ผลของการกำหนดลมหายใจ
赌博胜负	แพ้ชนะการพนัน
赢钱了吗	ได้เงินหรือไม่
走了多少人	มีคนจากไปกี่คน
运功疗伤	เดินลมปราณรักษาบาดแผล
还剩下你	เหลือแต่เจ้า
这口痰命中你的机率	โอกาสที่เสลดก้อนนี้จะพุ่งใส่เจ้า
这场论战的胜负	แพ้ชนะของการโต้วาทีครั้งนี้
追击结果	ผลการไล่ล่า
送给飞石帮主的礼物	ของขวัญมอบให้เจ้าพรรคก้อนหินบิน
逃脱	การหลบหนี
那么人选	เช่นนั้นแล้ว ตัวเลือกคือ
重要的事情	เรื่องสำคัญ
门派抽签结果	ผลการจับสลากสำนัก
阁下便是	ท่านผู้นี้คือ
集体坠落	ร่วงหล่นพร้อมกัน
需要多带帮手吗？	ต้องพาผู้ช่วยไปเพิ่มหรือไม่？
青城派印象	ความประทับใจต่อสำนักชิงเฉิง
顾药的结果	ผลการเฝ้าดูแลยา
领悟其中之意	หยั่งรู้ความหมายที่แฝงอยู่
飞渡破损栈道	เหาะข้ามสะพานไม้ที่ชำรุด
鬼卒的叉尖所向	ทิศทางปลายสามง่ามของทหารผี
龙湘的反应	ปฏิกิริยาของหลงเซียง
龙湘的怀疑	ความสงสัยของหลงเซียง
龙湘的想法	ความคิดของหลงเซียง
龙湘的特征	ลักษณะเด่นของหลงเซียง
龙湘的真面目	โฉมหน้าที่แท้จริงของหลงเซียง
龙湘的觉悟	ความสำนึกของหลงเซียง
龙湘的钱包	กระเป๋าเงินของหลงเซียง
龙湘要不要钻牛角尖？	หลงเซียงจะยึดติดปมเล็กปมน้อยหรือไม่？
